texto_conversacion,intencion_consenso,intencion_heuristica_baseline,fuente,fecha,estado_crm,etiqueta_crm
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PROSPECTO FERIA CLAVE,,se envía información general y catalogo",INF,INF,CRM2,14/06/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes tienen microcemento color verde como para piso? Asesor: Cual es tu nombre? Cliente: Ana Arias Asesor: Excelente Ana. Yo m | NOTAS: cliente interesado en microcemento verde",INF,INF,CRM2,31/05/2024,Contactado,Informacion General
ETIQUETA: Email inválido | ESTADO: numero no valido | NOTAS: numero no valida,,INF,CRM2,05/09/2023,numero no valido,Email inválido
"ETIQUETA: Cotizacion Materiales, Informacion General | ESTADO: Contactado | NOTAS: Micro 100 m2",COT,COT,CRM1,13/06/2023,Contactado,"Cotizacion Materiales, Informacion General"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se le envió catalogo y presentación,INF,INF,CRM1,24/03/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas noches, disculpa tienen moldes para estampar concreto Asesor: Cual es tu nombre? Cliente: alquilan o venden ? Asesor: Yo me enca | NOTAS: se envió información general y catálogos",INF,INF,CRM2,04/09/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Bade de datos loja,se envió información del curso LOA",CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
"ETIQUETA: No concretada, Informacion General | ESTADO: Contactado | NOTAS: DESEA SOLO MANO DE OBRA / SIN MATERIALES",INF,INF,CRM1,13/06/2023,Contactado,"No concretada, Informacion General"
"ETIQUETA: Manabi, Construex | ESTADO: Construex | CONSULTA: ESTÁ INTERESADO EN ADITIVO",INF,INF,CRM2,22/08/2024,Construex,"Manabi, Construex"
CIUDAD: Quito | MENSAJE: ‎STK-20260330-WA0008.webp (archivo adjunto),,INF,WhatsApp,30/3/2026,,
CIUDAD: Cuenca | MENSAJE: Si esos son los precios,COT,COT,WhatsApp,15/1/2026,,
CIUDAD: Quito | MENSAJE: ‎IMG-20260421-WA0020.jpg (archivo adjunto),,INF,WhatsApp,21/4/2026,,
ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | NOTAS: 80 M2 MICRO PARED,COT,COT,CRM2,07/08/2023,Contactado,Cotizacion Materiales
"ETIQUETA: Informacion General, Seguimiento de presentacion | ESTADO: Contactado | NOTAS: REDES SOCIALES",INF,SEG,CRM1,31/05/2023,Contactado,"Informacion General, Seguimiento de presentacion"
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Cuál es el costo del microcemento por metro cuadrado Asesor: Cual es tu nombre? Cliente: Ricardo Asesor: Excelente Ricardo. Yo me encar | NOTAS: se envió información general y catálogos",COT,COT,CRM2,20/09/2023,Contactado,Informacion General
"ETIQUETA: Pichincha, Construex | ESTADO: Construex | CONSULTA: INTERESADO EN CONCRETO ESTAMPADO PARA PISOS",INF,INF,CRM2,22/08/2024,Construex,"Pichincha, Construex"
CIUDAD: Guayaquil | MENSAJE: Muy buenos dias por favor algun aplicador disponible para Quevedo ????,INF,INF,WhatsApp,25/3/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio whatsapp de presentacion 15/02/2023 y mail pigmentos,INF,INF,CRM1,13/02/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes necesito adquirir acidos oxidantes para hormigon Asesor: Cual es tu nombre? Cliente: Diego Toledo Asesor: Excelente Diego | NOTAS: INFO ACIDOS",VEN,INF,CRM2,24/03/2024,Contactado,Informacion General
"ETIQUETA: Informacion General, Seguimiento de presentacion | ESTADO: Contactado | NOTAS: SE ENVIO CATALOGO Y PRESENTACION",INF,SEG,CRM1,05/05/2023,Contactado,"Informacion General, Seguimiento de presentacion"
CIUDAD: Guayaquil | MENSAJE: @⁨+593 99 387 2059⁩ si está dentro del grupo estimado,INF,INF,WhatsApp,10/3/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenas tardes Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: quiero un acabado mate y con colores difusos, que carta  | NOTAS: Se envió información y catalogo general, desea información sobre el sello mate y la cartilla de colores",INF,INF,CRM2,16/03/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Mariana buenas tardes bendiciones Asesor: Excelente Mariana. Yo me encargo de ponerte en contacto con un asesor especializado para | NOTAS: se le envió información general y catálogos",INF,INF,CRM2,20/08/2023,Contactado,Informacion General
ETIQUETA: Email - Numero inválido | ESTADO: Contactado | NOTAS: numero invalido,,INF,CRM2,25/08/2023,Contactado,Email - Numero inválido
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información general catálogos,INF,INF,CRM2,25/09/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información general y catálogos Base de datos cas abierta UIO,INF,INF,CRM2,13/11/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIA CATALOGOS Y PRESENTACION,INF,INF,CRM1,05/05/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información general vía correo,INF,INF,CRM2,22/11/2023,Contactado,Informacion General
ETIQUETA: Cotización Obra | ESTADO: Contactado | NOTAS: 50 m2 PARED ENCOFRADA,COT,INF,CRM2,02/10/2023,Contactado,Cotización Obra
"CIUDAD: Quito | MENSAJE: Muchas gracias, buena tarde.",INF,INF,WhatsApp,26/8/2025,,
"CIUDAD: Quito | MENSAJE: Ahora a sellar bonito sin dejar marcas , estirando bien el sello",INF,INF,WhatsApp,13/5/2025,,
CIUDAD: Guayaquil | MENSAJE: estamos atentos para servirles!,INF,INF,WhatsApp,27/8/2025,,
"ETIQUETA: Email inválido | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola estoy de Barcelona Asesor: Cual es tu nombre? Cliente: Joan Asesor: Yo me encargo de ponerte en contacto con un asesor especializa | NOTAS: CLIENTE INTERNACIONAL, SE ENVIO INFORMACION POR CORREO ,NO DEJO NUMERO TELEFONICO",INF,INF,CRM2,10/06/2024,Contactado,Email inválido
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: hola Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: quisiera pedir informes Asesor: Cual es tu nombre? Cliente: danie",INF,INF,CRM1,18/06/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: bUENOS DIAS Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: CUAL ES EL COSTO DE LOS MOLDES PARA ESTAMPAR CONCRETO Ases | NOTAS: se envió información y catalogo general - desea información de moldes",COT,COT,CRM2,26/01/2024,Contactado,Informacion General
ETIQUETA: Email - Numero inválido | ESTADO: Nuevo | NOTAS: se envió mail y catalogo,,INF,CRM1,09/03/2023,Nuevo,Email - Numero inválido
CIUDAD: Quito | MENSAJE: Más parece una mala propaganda del microcemento.,QUE,INF,WhatsApp,2/7/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Marina, por favor necesito información sobre las láminas de piedra Asesor: Cual es tu nombre? Cliente: Verónica Rosero. Soy arquit | NOTAS: se envio presentacion y catalagos jeva",INF,INF,CRM1,30/03/2023,Contactado,Informacion General
"CIUDAD: Loja | MENSAJE: Estimados aplicadores, buenas tardes",INF,INF,WhatsApp,27/5/2024,,
CIUDAD: Cuenca | MENSAJE: ‎IMG-20240221-WA0023.jpg (archivo adjunto),,INF,WhatsApp,24/11/2025,,
"ETIQUETA: Cotizacion Materiales, Informacion General | ESTADO: Contactado | NOTAS: SE ENVIA COTIZACION MATERIALES",COT,COT,CRM2,15/08/2023,Contactado,"Cotizacion Materiales, Informacion General"
CIUDAD: Cuenca | MENSAJE: El molde es para la piedra qué va bajo la escultura por favor,INF,INF,WhatsApp,24/11/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Buenas tardes, le escribo por parte de la empresa Sedemi, Quisiera cotizar el m2 de hormigón estampado | NOTAS: se envió información general y catalogo, inf, concreto estampado",COT,INF,CRM2,19/07/2024,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Muchas gracias por la información.,INF,INF,WhatsApp,26/8/2025,,
CIUDAD: Loja | MENSAJE: Cómo está muy buenas tardes adjunto nuestros catálogos para su mayor información también les menciono,INF,INF,WhatsApp,22/5/2025,,
CIUDAD: Cuenca | MENSAJE: Gracias muy amable,INF,INF,WhatsApp,4/12/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes, acabe de mandarles un mensaje por WhatsApp Asesor: Cual es tu nombre? Cliente: Laura Armijos Asesor: Excelente Laura. Yo | NOTAS: se envió presentación y catálogos",INF,INF,CRM1,17/03/2023,Contactado,Informacion General
CIUDAD: Manta | MENSAJE: Alguien tiene dos maestros  para que nos apoyen  en esta obra de Portoviejo  ?? Que sean buenos por fa,INF,INF,WhatsApp,12/3/2025,,
CIUDAD: Quito | MENSAJE: Calle Cristobal  Ayala N5181,INF,INF,WhatsApp,28/3/2026,,
"ETIQUETA: Email inválido | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenos dias Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: realizan topes vehiculares; huellas peatonales y vehicular | NOTAS: INFO DE TOPES VEHICULARES",INF,INF,CRM2,07/02/2024,Contactado,Email inválido
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envió informacion general",INF,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
"ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola tengo un local de cemento al sur de quito quisiera saber cuanto cuesta pulirlo tiene 52 m Asesor: Cual es tu nombre? Cliente: Cris | NOTAS: 50 M2 MICRO PISO",COT,COT,CRM2,11/04/2024,Contactado,Cotizacion Materiales
ETIQUETA: No concretada | ESTADO: Contactado | NOTAS: indico que vino hace algún tiempo cuando estuvo en construcción de un proyecto. La atención al cliente no le gusto Decidió buscar otras opciones,QUE,INF,CRM1,14/06/2023,Contactado,No concretada
CIUDAD: Cuenca | MENSAJE: Orgullosos de que seas parte de esta nueva y gran familia 😊,INF,INF,WhatsApp,23/11/2025,,
CIUDAD: Quito | MENSAJE: Saludos buenos dias,INF,INF,WhatsApp,1/12/2025,,
ETIQUETA: Seguimiento de presentacion | ESTADO: Contactado | NOTAS: se envió catálogos y presentación,INF,SEG,CRM1,03/05/2023,Contactado,Seguimiento de presentacion
"ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: BUENAS TARDES POR FAVOR ME PODRIA AYUDAR CON UNA COTIZACION Asesor: Cual es tu nombre? Cliente: NICOLAS Asesor: Excelente Nicolas. Yo m | NOTAS: MATERIALES PARA MICRO 169 M2",COT,COT,CRM2,29/04/2024,Contactado,Cotizacion Materiales
ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: cliente interesado en aditivo - cliente construex,INF,SEG,CRM2,16/04/2024,En seguimiento,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFORACION CURSO LOJA BASE DE DATOS,CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
"CIUDAD: Loja | MENSAJE: Gracias, el ácido se mezcla con agua 1,1, además el valor galón de ácido y sellador si puedo compilar en Loja, caso contrario la cuenta para depositar.",COT,INF,WhatsApp,14/11/2024,,
"ETIQUETA: Cotización Obra, Asesoramiento Tecnico | ESTADO: Contactado | NOTAS: ASISTENCIA TECNICA C/E",TEC,TEC,CRM2,24/08/2023,Contactado,"Cotización Obra, Asesoramiento Tecnico"
CIUDAD: Quito | MENSAJE: https://vm.tiktok.com/ZMAjqtYK3/,,INF,WhatsApp,30/8/2025,,
ETIQUETA: Cotización Obra | ESTADO: Contactado | NOTAS: 60 M2 C/E EN FUNDICION,COT,INF,CRM2,22/09/2023,Contactado,Cotización Obra
"ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | CONSULTA: se envió whatsapp 13-02-2023 | NOTAS: se envio whatsapp 13/02,Se envió WhatsApp masivo",INF,INF,CRM1,13/02/2023,Contactado,Envio masivo whasapp
CIUDAD: Manta | MENSAJE: ‎CATALOGO DE MOLDES ACTUALES .pdf (archivo adjunto),INF,INF,WhatsApp,25/4/2024,,
"CIUDAD: Manta | MENSAJE: Hola, buenas noches",INF,INF,WhatsApp,2/4/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información general Base de datos casa abierta UIO,INF,INF,CRM2,13/11/2023,Contactado,Informacion General
"ETIQUETA: Cliente Derivado provincias, Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Quiero saber en que precio está el metro cuadrado de concreto estampado Asesor: Cual es tu nombre? Cliente: Jonathan Asesor: Excelente  | NOTAS: El sr quisiera arreglar el piso de su patio, dice que son aprox 200m2, se encuentra en Salinas, se",COT,COT,CRM2,13/08/2023,Contactado,"Cliente Derivado provincias, Informacion General"
ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE CONSTRUEX - INF. MICRO,INF,SEG,CRM2,01/05/2024,En seguimiento,Informacion General
CIUDAD: Quito | MENSAJE: Muy buenas tardes tengan cada uno de ustedes compañeros y bienvenidos sean todos a esta maravillosa comunidad,INF,INF,WhatsApp,27/3/2026,,
CIUDAD: Quito | MENSAJE: ‎PTT-20260302-WA0036.opus (archivo adjunto),,INF,WhatsApp,2/3/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO CURSO,CUR,CUR,CRM1,13/07/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información y molde general,INF,INF,CRM2,11/12/2023,Contactado,Informacion General
"ETIQUETA: Informacion General, Desuscripto | ESTADO: Contactado | NOTAS: se envió información general y catálogos",INF,INF,CRM2,14/09/2023,Contactado,"Informacion General, Desuscripto"
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Buenas noches, quiero remodelar mi casa y colocar piso de microcemento y quiero saber si tienen un showroom para poder ver el acabado, estoy intersada en un satinado. | NOTAS: se envió información general y catálogo",INF,INF,CRM2,21/07/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Nuevo | NOTAS: se envió catálogos y presentación,INF,INF,CRM1,28/03/2023,Nuevo,Informacion General
CIUDAD: Quito | MENSAJE: No es por humedad es por resitencia,TEC,INF,WhatsApp,18/6/2025,,
CIUDAD: Guayaquil | MENSAJE: ‎STK-20250523-WA0000.webp (archivo adjunto),,INF,WhatsApp,23/5/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos dias sta. La saluda Manuel Chavez. Asesor: Excelente Manuel. Yo me encargo de ponerte en contacto con un asesor especializado pa | NOTAS: se envió catálogos y presentación",INF,INF,CRM1,06/05/2023,Contactado,Informacion General
"ETIQUETA: Informacion General, Asesoramiento Tecnico | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: Necesito asesoría en el lugar Asesor: Cual es tu nombre? Cliente: | NOTAS: se envió información general y asesoramiento",TEC,INF,CRM2,26/06/2024,Contactado,"Informacion General, Asesoramiento Tecnico"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO CATALOGO Y PRESENTACION BASE DE DATOS,INF,INF,CRM1,23/03/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: 4 M2 C/E,INF,INF,CRM2,03/10/2023,Contactado,Informacion General
"ETIQUETA: Cotizacion Materiales, Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos días si Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Asesor: Sigues ahí? Cliente: Me da un número para cotizar produc | NOTAS: 1360 m2 C/E PISO GALAPAGOS Y MOLDE PERSONALIZADO",COT,COT,CRM2,19/09/2023,Contactado,"Cotizacion Materiales, Informacion General"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio presentacion y catalogos Jeva,INF,INF,CRM1,28/03/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Los grupos anteriores serán eliminados y nos quedaremos con este grupo,INF,INF,WhatsApp,14/5/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INF. ACIDOS,INF,INF,CRM2,19/05/2024,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Los precios son en cualquier color  😉,COT,COT,WhatsApp,17/2/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió WhatsApp te presentación 15/02/2023 y mail pigmentos,INF,INF,CRM1,13/02/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola quiera cotizar hormigón visto para exteriores para gradas Asesor: Cual es tu nombre? Cliente: Andrea Muñoz Asesor: Excelente Andre | NOTAS: INFO DE CE",COT,INF,CRM2,01/04/2024,Contactado,Informacion General
ETIQUETA: No concretada | ESTADO: Contactado | NOTAS: no esta interesada,INF,INF,CRM1,03/03/2023,Contactado,No concretada
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Se le envió información general, estamos a la espera de respuesta",INF,INF,CRM2,04/08/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: BASE CLIENTE/DISTRIBUIDOR FERRETERO,INF,INF,CRM2,13/05/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PIGMENTO E INFORMACION DE CANCHA DE CAROLINA,INF,INF,CRM2,29/08/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: APLICADORES | NOTAS: CLIENTE CONSTRUEX,Se envió info general y catálogo por whatsapp",INF,INF,CRM2,18/07/2024,APLICADORES,Informacion General
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envio informacion y catalogo general",INF,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PREGUNTO PRECIO Y NO RESPONDIO MAS,COT,COT,CRM1,05/04/2023,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: No quiero para el sabado,INF,INF,WhatsApp,22/4/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: hola buen dia m e puedes ayudar con una cotizaciion por favor Asesor: Cual es tu nombre? Asesor: Cliente: Milena Guerron Asesor: Excele | NOTAS: inf. microcemento (10m2) se le envió información general y catálogos",COT,INF,CRM2,17/10/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se le derivo a Oscar Cazares cotización para 100m2 para Ibarra,COT,INF,CRM1,06/06/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió catalogo y presentación,INF,INF,CRM1,20/03/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Se envio whatsapp de presentación y mail pigmentos,INF,INF,CRM1,13/02/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información y catalogo general,INF,INF,CRM2,04/12/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información general y catálogos Base de datos casa abierta UIO,CUR,INF,CRM2,13/11/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Cual es la dosificacion para colocar el pigmento | NOTAS: Se envió información y catalogo general, el cliente tiene dudas sobre la dosificación del pigmento para concreto",TEC,INF,CRM2,09/04/2024,Contactado,Informacion General
"ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: Se envió WhatsApp masivo,se envió presentación,se envió presentación",INF,INF,CRM1,22/02/2023,Contactado,Envio masivo whasapp
ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: SE ENVIO MAIL Y CATALOGOS,INF,INF,CRM1,09/03/2023,Contactado,Envio masivo whasapp
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: CONSTRUCCION Se envía catálogo general.,INF,INF,CRM2,29/05/2024,Contactado,Informacion General
"CIUDAD: Cuenca | MENSAJE: Muy amable, gracias",INF,INF,WhatsApp,4/12/2025,,
"ETIQUETA: Email inválido | ESTADO: Contactado | NOTAS: Numero repetido,BASE DE DATOS",,INF,CRM2,09/11/2023,Contactado,Email inválido
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catalogos y presentacion,INF,INF,CRM1,05/05/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Estamos para servirles,INF,INF,WhatsApp,26/8/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió whatsapp de presentación 15/02/2023 y mail pigmentos,INF,INF,CRM1,13/02/2023,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: Básicamente  la diferencia entre las dos lineas de producto es que la Linea Premiun esta fabricada con materia prima Alemana que la importamos directamente.,INF,INF,WhatsApp,30/6/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO DE MOLDES,INF,INF,CRM2,10/11/2023,Contactado,Informacion General
ETIQUETA: Email inválido | ESTADO: numero no valido | NOTAS: base de datos,,INF,CRM2,05/09/2023,numero no valido,Email inválido
CIUDAD: Loja | MENSAJE: ‎PTT-20241114-WA0016.opus (archivo adjunto),,INF,WhatsApp,14/11/2024,,
CIUDAD: Loja | MENSAJE: ‎Admin Rocktec MAYRA.vcf (archivo adjunto),,INF,WhatsApp,14/11/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE LE ENVIO INFORMACION GENERAL Y CATALOGOS,INF,INF,CRM2,07/08/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: ARQUITECTOS, Se envía información general y catálogo",INF,INF,CRM2,29/05/2024,Contactado,Informacion General
"ETIQUETA: Cotización Obra | ESTADO: Contactado | CONSULTA: Buenos días, le saluda Felipe Villacís de la constructora Castelo Jácome. Quería por favor que me ayude con una cotización de microcemento de 194 m2 | NOTAS: SE LE ENVIO COTIZACION POR 194M2 DE MICROCEMENTO EN CUMBAYA",COT,COT,CRM1,22/05/2023,Contactado,Cotización Obra
"ETIQUETA: Informacion General, Oriente, Construex | ESTADO: Contactado | NOTAS: CLIENTE CONSTRUEX INTERESADO EN LIMPIADORES INDUSTRIALES, se envió info por whatsapp",INF,INF,CRM2,30/07/2024,Contactado,"Informacion General, Oriente, Construex"
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: CLIENTE FERIA CLAVE CUMBAYA, CONSTRUCTORA",INF,INF,CRM2,28/06/2024,Contactado,Informacion General
CIUDAD: Guayaquil | MENSAJE: Buenos días este momento se contactan,INF,INF,WhatsApp,19/11/2025,,
CIUDAD: Quito | MENSAJE: Gracias muy proactivo  Robert,INF,INF,WhatsApp,29/3/2026,,
CIUDAD: Quito | MENSAJE: Ya busco un video y les envio 😉,INF,INF,WhatsApp,21/4/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buen día, me puede ayudar con el costo de los moldes para estampar concreto? Asesor: Cual es tu nombre? Cliente: Guber Armijos Asesor:  | NOTAS: Se envío catálogo",COT,COT,CRM1,19/06/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: pregunto precio por m2 de microcemento,COT,COT,CRM1,11/07/2023,Contactado,Informacion General
ETIQUETA: Email inválido | ESTADO: Nuevo | NOTAS: CONSTRUCTORA,,INF,CRM2,13/05/2024,Nuevo,Email inválido
ETIQUETA: Venta ganada | ESTADO: Cliente Frecuente | NOTAS: APLICADOR,VEN,INF,CRM1,22/02/2023,Cliente Frecuente,Venta ganada
"ETIQUETA: Informacion General, Email inválido | ESTADO: Contactado | NOTAS: pidio informacion de concreto estampado se le envio modelos y precios",COT,COT,CRM1,14/06/2023,Contactado,"Informacion General, Email inválido"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: NUMERO REPETIDO BASE DE DATOS,INF,INF,CRM2,09/11/2023,Contactado,Informacion General
ETIQUETA: Email - Numero inválido | ESTADO: Nuevo | NOTAS: no es el numero,,INF,CRM1,28/03/2023,Nuevo,Email - Numero inválido
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: precio del producto, y si realiza envió a Naranjito guayas | NOTAS: info general",COT,COT,CRM2,27/11/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información sobre ácidos oxidantes, en espera de respuesta",INF,INF,CRM2,19/06/2024,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: El microcemento se puede aplicar en espacios con fines de comercialización de cárnicos?,TEC,INF,WhatsApp,7/11/2024,,
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: El numero esta incompleto, se le envió información por correo",INF,INF,CRM2,02/04/2024,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: ‎IMG-20260422-WA0001.jpg (archivo adjunto),,INF,WhatsApp,22/4/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Atentido M.A,INF,INF,CRM1,16/05/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: ‎STK-20250702-WA0035.webp (archivo adjunto),,INF,WhatsApp,2/7/2025,,
ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: se envió presentación,INF,INF,CRM1,16/02/2023,Contactado,Envio masivo whasapp
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO CATALOGOS Y PRESENTACION,INF,INF,CRM1,14/03/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Alejandro delgado,INF,INF,CRM2,21/09/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: personal de oficina,INF,INF,CRM2,13/11/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PIGMENTO,INF,INF,CRM2,28/08/2023,Contactado,Informacion General
