texto_conversacion,intencion_predicha,confianza,revisar_manual
https://vm.tiktok.com/ZMSmrAkdt/,INF,0.8176,False
"Buenas tardes, muchas gracias por toda la información enviada, nos ayudará mucho para despejar dudas.  Y será de gran ayuda para nuestro proyectos",INF,0.7281,False
Mñanaa te verifico 👍🏻,INF,0.8371,False
Alguien me puede ayudar donde consigo estas placas,INF,0.6495,False
preyesarqui@hotmail.com,INF,0.8142,False
Nosotros cobramos entre 23 y 25 dol m2 cualquier acabado en paredes . Mas iva,COT,0.7854,False
Apoyemos con un voto para Ecuador.,INF,0.7669,False
Podria ser molde Mt49 que lo puedes ver en el catalogo..se puede usar cuarzo gris y desmoldante  gris obscuro,TEC,0.9527,False
Resiste bien a la fricción de las llantas del vehículo siempre y cuando se selle con poliuretanos.,TEC,0.8064,False
Muy buenas tardes Sr. Suarez bienvenido al grupo de Rocktec este grupo se creo con la intención de brindarles un mejor servicio y también para que podamos compartir nuestras obras de arte con materiales de Rocktec,COT,0.552,False
"Gara! Conocer amig@s de cuenca, pay por compartir un pedacito de su universo de conocimiento 👊💪",INF,0.6856,False
Este momento me llegaron 2 correos gracias,INF,0.8238,False
Por favor tengo un cliente que necesita saber los precios más detallados en cuanto a concreto estampado,COT,0.9539,False
Cómo está muy buenos días Inge dígame en qué le podemos servir,INF,0.8253,False
